Sample,Type,Pluton,Grid reference,Easting,Northing,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,Ba,Pb,Rb,Sr,Nb,Th,U,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Ho,Er,Tm,Yb,Lu,A/CNK,TZr,Eu/Eu*,K/Rb,Rb/Sr
,,,,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,
Detection,,,,,,0.01,0.01,0.01,0.01,0.001,0.01,0.01,0.01,0.01,0.01,,,5,5,2,2,0.3,6,5,5,0.3,0.6,0.3,0.3,0.3,0.03,0.1,0.22,0.08,0.05,0.04,0.1,0.03,,,,,
LE01,G3a,Land's End,SW45152425,145150,24250,70.41,0.39,15.09,2.79,0.04,0.64,0.74,2.74,5.82,0.3,1.19,100.16,261,21,371,80,19,20,8,138,28.65,62.79,8.81,32.79,6.74,0.68,5.09,3.52,0.63,1.59,0.22,1.33,0.21,1.24,798,0.35,130,4.65
LE02,G3a,Land's End,SW45152425,145150,24250,69.77,0.39,14.78,2.85,0.05,0.69,0.8,2.68,5.43,0.28,1.5,99.22,269,28,418,85,19,29,8,174,30.79,69.37,9.35,35.15,6.89,0.64,4.98,3.26,0.56,1.43,0.2,1.19,0.18,1.26,819,0.33,108,4.92
LE03,G3a,Land's End,SW44672535,144670,25350,70.86,0.35,14.57,2.6,0.04,0.62,0.75,2.76,5.19,0.27,1.3,99.31,289,32,418,88,19,24,10,159,29.46,64.53,8.58,31.45,6.2,0.56,4.54,3.05,0.52,1.35,0.19,1.16,0.17,1.26,812,0.32,103,4.75
LE04,G4b,Land's End,SW38642885,138640,28850,73.5,0.11,14.57,1.51,0.03,0.11,0.37,3.31,4.47,0.35,1.22,99.55,0.25,7,952,16,34,3,2.5,47,3.9,8.9,1.18,4.35,1.02,0.03,0.83,0.85,0.16,0.47,0.08,0.59,0.09,1.33,720,0.11,39,59.5
LE05,G4b,Land's End,SW38642885,138640,28850,73.91,0.1,14.35,1.54,0.04,0.07,0.38,3.42,4.5,0.35,1,99.66,0.25,6,827,14,33,4,4,41,3.96,8.82,1.18,4.32,1.02,0.03,0.83,0.84,0.16,0.47,0.08,0.6,0.09,1.28,708,0.11,45,60.28
LE06,G3a,Land's End,SW44493400,144490,34000,70.92,0.27,14.49,1.98,0.03,0.36,0.63,2.74,5.56,0.25,1.29,98.52,224,28,414,81,20,25,11,139,21.43,47.61,6.17,22.6,4.65,0.32,3.4,2.23,0.37,0.93,0.13,0.77,0.11,1.24,801,0.24,111,5.11
LE07,G2,Land's End,SW48643477,148640,34770,71.57,0.16,14.48,1.6,0.02,0.34,0.39,2.14,6.35,0.26,1.61,98.92,125,10,547,41,19,10,2.5,71,8.94,17.98,2.4,8.83,2.06,0.31,1.78,1.58,0.28,0.74,0.11,0.73,0.11,1.3,750,0.49,96,13.34
LE08,G2,Land's End,SW48643477,148640,34770,71.9,0.15,14.65,1.5,0.02,0.31,0.54,2.69,5.73,0.27,1.39,99.15,134,11,532,47,19,10,17,69,11.55,23.76,3.01,10.76,2.38,0.29,1.95,1.6,0.27,0.71,0.1,0.67,0.1,1.26,744,0.41,89,11.32
LE09,G2,Land's End,SW48643477,148640,34770,71.87,0.16,14.62,1.48,0.03,0.3,0.6,3,5.27,0.27,1.45,99.05,152,14,521,54,19,10,31,71,11.59,24.4,3.04,10.97,2.43,0.27,1.98,1.6,0.27,0.71,0.1,0.67,0.1,1.25,745,0.38,84,9.65
LE10,G3a,Land's End,SW45853799,145850,37990,71.73,0.36,14.56,2.34,0.03,0.65,0.52,2.66,5.63,0.27,1.47,100.21,269,17,364,78,20,21,3,133,23.25,46.19,6.98,25.3,5.2,0.54,3.88,2.75,0.48,1.26,0.18,1.09,0.16,1.28,800,0.37,128,4.68
LE11,G3a,Land's End,SW35792362,135790,23620,70.62,0.35,14.48,2.28,0.02,0.66,0.5,2.5,5.54,0.26,1.74,98.95,260,21,417,96,17,26,2.5,161,22.91,46.8,7.1,27.14,5.74,0.48,4.32,3.13,0.52,1.35,0.2,1.22,0.17,1.31,820,0.29,110,4.34
CW37*,G3a,Land's End,SW36442184,136440,21840,73.71,0.29,13.94,1.91,0.03,0.35,0.58,2.55,5.55,0.25,,99.16,166,15,436,73,20,16,5,120,12.23,24.07,3.58,14.08,3.29,0.26,2.4,1.96,0.33,0.93,0.13,0.84,0.13,1.24,785,0.28,106,5.97
CW01*,G4c,Land's End,SW35493209,135490,32090,74.08,0.08,14.22,3.36,0.03,0.08,0.49,0.56,5.89,0.38,,99.17,126,7,505,24,,4,3,38,2.77,6.41,0.91,3.66,1.09,0.09,0.9,1.11,0.2,0.62,0.1,0.76,0.11,1.74,717,0.27,97,21.04
